ProductID,Category,SubCategory,ProductName,CostPrice,SupplierID
1001,Toys,Educational Toys,Funskool Educational,2410.85,73
1002,Toys,Games,Lego Games,101.78,76
1003,Electronics,Audio Devices,Xiaomi Audio,4750.6,31
1004,Beauty,Skincare,Olay Skincare,978.48,52
1005,Toys,Games,Chhota Bheem Games,2610.42,21
1006,Home & Kitchen,Appliances,Butterfly Appliances,753.7,44
1007,Electronics,Powerbanks,Apple Powerbanks,2187.57,52
1008,Grocery,Dairy,Patanjali Dairy,3852.25,50
1009,Sports,Outdoor Sports,Nivia Outdoor,3372.31,51
1010,Beauty,Cosmetics,Nykaa Cosmetics,4814.79,15
1011,Sports,Outdoor Sports,Nivia Outdoor,4459.96,48
1012,Home & Kitchen,Appliances,Philips Appliances,2780.21,10
1013,Toys,Educational Toys,Hasbro Educational,1569.18,52
1014,Home & Kitchen,Appliances,Usha Appliances,903.7,39
1015,Clothing,Jeans,Roadster Jeans,3873.79,9
1016,Sports,Fitness,Cosco Fitness,436.82,7
1017,Clothing,Shirts,Nike Shirts,1425.32,46
1018,Home & Kitchen,Storage,Morphy Richards Storage,577.32,24
1019,Toys,Educational Toys,Disney Educational,2427.88,50
1020,Home & Kitchen,Storage,Havells Storage,3312.72,37
1021,Clothing,Ethnic Wear,Allen Solly Ethnic,4054.31,48
1022,Clothing,Jeans,Max Jeans,3461.56,18
1023,Beauty,Skincare,Nivea Skincare,3073.24,41
1024,Beauty,Haircare,Mamaearth Haircare,3109.96,55
1025,Electronics,Mobile Phones,HP Mobile,2161.46,71
1026,Clothing,Ethnic Wear,Zara Ethnic,1030.7,52
1027,Sports,Fitness,Decathlon Fitness,582.67,59
1028,Toys,Soft Toys,Nerf Soft,3240.81,30
1029,Clothing,Jackets,UCB Jackets,3320.18,17
1030,Clothing,Ethnic Wear,Nike Ethnic,4925.26,27
1031,Beauty,Skincare,Himalaya Skincare,4464.24,47
1032,Clothing,Jackets,Nike Jackets,3746.44,49
1033,Toys,Games,Funskool Games,4998.79,34
1034,Clothing,Ethnic Wear,Nike Ethnic,1745.15,59
1035,Grocery,Beverages,Patanjali Beverages,4924.32,70
1036,Beauty,Skincare,Mamaearth Skincare,1770.5,49
1037,Clothing,Ethnic Wear,Max Ethnic,2950.18,60
1038,Home & Kitchen,Cookware,Milton Cookware,4847.13,53
1039,Electronics,Mobile Phones,JBL Mobile,2591.82,64
1040,Home & Kitchen,Appliances,Whirlpool Appliances,1874.06,29
1041,Beauty,Cosmetics,Nykaa Cosmetics,4315.12,40
1042,Sports,Outdoor Sports,Decathlon Outdoor,68.58,33
1043,Clothing,Jackets,Max Jackets,2606.48,80
1044,Beauty,Cosmetics,Garnier Cosmetics,2510.51,35
1045,Clothing,Ethnic Wear,H&M Ethnic,2745.24,26
1046,Beauty,Cosmetics,Nykaa Cosmetics,513.2,29
1047,Sports,Fitness,Nivia Fitness,1007.85,25
1048,Toys,Educational Toys,Lego Educational,2543.44,61
1049,Electronics,Powerbanks,Xiaomi Powerbanks,3830.78,40
1050,Toys,Games,Hasbro Games,3401.32,6
1051,Home & Kitchen,Appliances,Panasonic Appliances,3754.69,43
1052,Beauty,Cosmetics,Garnier Cosmetics,3036.37,59
1053,Home & Kitchen,Appliances,Prestige Appliances,4585.0,20
1054,Sports,Fitness,Yonex Fitness,441.14,49
1055,Home & Kitchen,Cookware,Milton Cookware,2104.43,60
1056,Electronics,Mobile Phones,Sony Mobile,1771.15,18
1057,Beauty,Skincare,Nivea Skincare,2083.67,30
1058,Clothing,Jeans,Adidas Jeans,2897.83,35
1059,Sports,Fitness,Reebok Fitness,476.49,41
1060,Toys,Educational Toys,Lego Educational,4445.37,29
1061,Home & Kitchen,Appliances,Milton Appliances,2846.19,37
1062,Sports,Outdoor Sports,Kookaburra Outdoor,4403.14,56
1063,Clothing,Jeans,H&M Jeans,4990.05,22
1064,Grocery,Household Essentials,MTR Household,4557.68,5
1065,Sports,Fitness,SG Fitness,478.01,33
1066,Beauty,Cosmetics,Nykaa Cosmetics,279.36,69
1067,Electronics,Audio Devices,HP Audio,1112.32,77
1068,Toys,Soft Toys,Hot Wheels Soft,3527.44,24
1069,Clothing,Jeans,Allen Solly Jeans,550.4,75
1070,Clothing,Shirts,Levis Shirts,1107.2,78
1071,Toys,Educational Toys,Barbie Educational,3924.12,66
1072,Beauty,Cosmetics,Dove Cosmetics,1803.24,46
1073,Toys,Games,Funskool Games,3784.64,3
1074,Home & Kitchen,Appliances,Morphy Richards Appliances,4430.37,73
1075,Clothing,Jackets,Nike Jackets,81.36,58
1076,Home & Kitchen,Decor,Usha Decor,4696.27,15
1077,Beauty,Cosmetics,Himalaya Cosmetics,3522.89,37
1078,Toys,Soft Toys,Disney Soft,3475.66,73
1079,Clothing,Shirts,Adidas Shirts,2533.55,23
1080,Toys,Soft Toys,Nerf Soft,3720.29,35
1081,Toys,Games,Nerf Games,3935.16,30
1082,Grocery,Dairy,ITC Dairy,3616.48,14
1083,Electronics,Audio Devices,JBL Audio,1071.88,19
1084,Grocery,Snacks,MDH Snacks,527.6,39
1085,Electronics,Powerbanks,Sony Powerbanks,1036.16,15
1086,Electronics,Cameras,Canon Cameras,4187.38,29
1087,Clothing,Jeans,H&M Jeans,1529.54,55
1088,Grocery,Dairy,Mother Dairy Dairy,3476.08,10
1089,Sports,Outdoor Sports,Nike Outdoor,1373.13,33
1090,Sports,Outdoor Sports,Nike Outdoor,3638.53,66
1091,Sports,Outdoor Sports,Puma Outdoor,216.49,77
1092,Grocery,Household Essentials,Britannia Household,4242.83,55
1093,Beauty,Skincare,Garnier Skincare,271.42,57
1094,Electronics,Cameras,Canon Cameras,2548.3,21
1095,Home & Kitchen,Decor,Borosil Decor,4980.57,69
1096,Toys,Educational Toys,Disney Educational,1543.9,36
1097,Electronics,Audio Devices,Dell Audio,3658.13,55
1098,Beauty,Haircare,Garnier Haircare,2118.46,2
1099,Toys,Games,Hot Wheels Games,504.02,26
1100,Home & Kitchen,Decor,Borosil Decor,2968.97,58
1101,Clothing,Jackets,Puma Jackets,2622.64,27
1102,Grocery,Household Essentials,MTR Household,4531.5,2
1103,Clothing,Jeans,H&M Jeans,218.95,50
1104,Toys,Soft Toys,Disney Soft,1897.99,42
1105,Home & Kitchen,Decor,Usha Decor,4028.34,21
1106,Toys,Soft Toys,Lego Soft,4106.83,42
1107,Sports,Outdoor Sports,Reebok Outdoor,4336.87,67
1108,Clothing,Jackets,Roadster Jackets,1698.17,44
1109,Grocery,Dairy,Nestle Dairy,738.5,59
1110,Clothing,Jeans,Levis Jeans,2582.5,39
1111,Clothing,Jeans,Nike Jeans,1401.06,78
1112,Toys,Games,Barbie Games,2319.7,28
1113,Clothing,Shirts,Adidas Shirts,1585.45,24
1114,Beauty,Haircare,Garnier Haircare,3237.37,10
1115,Grocery,Household Essentials,ITC Household,1748.19,43
1116,Clothing,Jeans,Adidas Jeans,2273.65,15
1117,Electronics,Powerbanks,OnePlus Powerbanks,4001.1,20
1118,Grocery,Snacks,ITC Snacks,1470.63,58
1119,Home & Kitchen,Decor,Philips Decor,1182.21,11
1120,Toys,Educational Toys,Funskool Educational,4850.0,16
1121,Beauty,Haircare,Dove Haircare,3324.03,72
1122,Beauty,Haircare,Dove Haircare,2718.04,78
1123,Home & Kitchen,Storage,Usha Storage,2688.7,66
1124,Clothing,Ethnic Wear,Roadster Ethnic,4741.04,58
1125,Toys,Educational Toys,Lego Educational,4582.75,24
1126,Grocery,Dairy,Nestle Dairy,1411.9,55
1127,Toys,Games,Funskool Games,3906.2,36
1128,Sports,Outdoor Sports,SG Outdoor,841.09,18
1129,Home & Kitchen,Cookware,Havells Cookware,3794.15,49
1130,Clothing,Jackets,Adidas Jackets,3108.68,3
1131,Grocery,Household Essentials,Nestle Household,4067.7,33
1132,Beauty,Haircare,Maybelline Haircare,4247.01,70
1133,Grocery,Snacks,Nestle Snacks,1006.62,5
1134,Sports,Footwear,Decathlon Footwear,3531.23,19
1135,Home & Kitchen,Cookware,Morphy Richards Cookware,914.13,19
1136,Sports,Fitness,Nivia Fitness,4676.38,48
1137,Clothing,Ethnic Wear,UCB Ethnic,784.4,32
1138,Electronics,Laptops,JBL Laptops,956.44,53
1139,Beauty,Skincare,Nivea Skincare,3151.25,6
1140,Clothing,Jeans,Levis Jeans,3186.14,71
1141,Grocery,Household Essentials,Nestle Household,901.17,65
1142,Beauty,Skincare,Dove Skincare,2749.59,26
1143,Grocery,Beverages,ITC Beverages,4942.72,30
1144,Home & Kitchen,Cookware,Borosil Cookware,4284.01,80
1145,Toys,Educational Toys,Lego Educational,3824.54,19
1146,Home & Kitchen,Cookware,Milton Cookware,1951.83,2
1147,Toys,Games,Disney Games,4629.26,35
1148,Grocery,Beverages,Patanjali Beverages,1426.31,19
1149,Sports,Outdoor Sports,Adidas Outdoor,3575.75,55
1150,Clothing,Shirts,Max Shirts,581.01,44
1151,Clothing,Ethnic Wear,Nike Ethnic,741.63,63
1152,Clothing,Shirts,Puma Shirts,2712.34,39
1153,Home & Kitchen,Storage,Borosil Storage,3941.78,28
1154,Sports,Fitness,Adidas Fitness,781.59,69
1155,Toys,Soft Toys,Lego Soft,1528.69,11
1156,Sports,Footwear,Kookaburra Footwear,275.35,27
1157,Electronics,Laptops,Canon Laptops,3365.81,12
1158,Sports,Fitness,Reebok Fitness,4631.27,36
1159,Sports,Outdoor Sports,Yonex Outdoor,4032.17,12
1160,Toys,Soft Toys,Hot Wheels Soft,3399.36,68
1161,Home & Kitchen,Decor,Prestige Decor,2070.25,76
1162,Clothing,Jackets,H&M Jackets,3161.67,77
1163,Electronics,Powerbanks,HP Powerbanks,712.13,11
1164,Beauty,Cosmetics,Loreal Cosmetics,1275.5,23
1165,Clothing,Jeans,Zara Jeans,3869.05,48
1166,Beauty,Cosmetics,Nykaa Cosmetics,3473.88,67
1167,Grocery,Snacks,Patanjali Snacks,1414.6,22
1168,Grocery,Beverages,MTR Beverages,628.79,49
1169,Sports,Fitness,Nivia Fitness,1793.27,49
1170,Toys,Soft Toys,Chhota Bheem Soft,567.56,16
1171,Sports,Outdoor Sports,Puma Outdoor,453.42,43
1172,Clothing,Jeans,Nike Jeans,656.22,42
1173,Home & Kitchen,Decor,Panasonic Decor,4044.81,6
1174,Home & Kitchen,Decor,Usha Decor,105.73,41
1175,Home & Kitchen,Cookware,Morphy Richards Cookware,1399.42,47
1176,Sports,Fitness,Puma Fitness,4315.72,16
1177,Toys,Soft Toys,Barbie Soft,1043.86,18
1178,Grocery,Household Essentials,MTR Household,3626.61,36
1179,Grocery,Dairy,Tata Dairy,3036.9,54
1180,Electronics,Mobile Phones,JBL Mobile,4565.77,33
1181,Clothing,Jeans,Roadster Jeans,1863.26,11
1182,Beauty,Skincare,Olay Skincare,1321.7,29
1183,Home & Kitchen,Storage,Panasonic Storage,619.61,57
1184,Beauty,Cosmetics,Nykaa Cosmetics,571.46,16
1185,Grocery,Snacks,Amul Snacks,1379.67,58
1186,Electronics,Laptops,Lenovo Laptops,149.95,61
1187,Electronics,Laptops,OnePlus Laptops,3990.33,63
1188,Toys,Games,Fisher Price Games,3449.74,6
1189,Electronics,Powerbanks,Sony Powerbanks,1641.45,7
1190,Toys,Educational Toys,Chhota Bheem Educational,1352.15,57
1191,Clothing,Ethnic Wear,Allen Solly Ethnic,787.44,12
1192,Home & Kitchen,Decor,Butterfly Decor,3091.61,78
1193,Sports,Footwear,Adidas Footwear,118.76,10
1194,Electronics,Mobile Phones,HP Mobile,4744.38,28
