video_id,title,channel_title,category,category_id,publish_date,publish_time,country,tags,views,likes,dislikes,comment_count,trending_date,publish_datetime,publish_year,publish_month,publish_day,publish_hour,publish_day_name,trending_year,trending_month,trending_day,trend_duration_days
vid_0,New Reaction 2024,SET India,Gaming,20,2023-11-19,23:48:56,US,tech|live|viral|trend|india,388180157,26415683,1281890,4853811,2023-11-24,2023-11-19 23:48:56,2023,11,19,23,Sunday,2023,11,24,5
vid_1,Official Song 2024,CarryMinati,News,25,2023-04-02,06:46:49,UK,video|viral|tech|sports|movie|india,215391128,11806628,927137,1275557,2023-04-03,2023-04-02 06:46:49,2023,4,2,6,Sunday,2023,4,3,1
vid_2,Top Review 2024,Aaj Tak,News,25,2024-10-25,00:36:04,US,video|funny|sports|viral|song|movie,222140488,11030931,830750,4065988,2024-10-29,2024-10-25 00:36:04,2024,10,25,0,Friday,2024,10,29,4
vid_3,Emotional Song Hindi,News18 India,Lifestyle,26,2024-06-05,18:27:04,IN,sports|live|trend|video,57213696,4294239,108467,497494,2024-06-07,2024-06-05 18:27:04,2024,6,5,18,Wednesday,2024,6,7,2
vid_4,Best Vlog USA,StarPlus,Music,10,2024-01-23,02:30:07,CA,funny|song|india|sports|movie|tech|video,202124398,14308235,852222,307400,2024-01-24,2024-01-23 02:30:07,2024,1,23,2,Tuesday,2024,1,24,1
vid_5,Emotional Highlights Tamil,BB Ki Vines,Gaming,20,2023-11-29,01:46:11,CA,trend|movie|song|viral|tech|sports,128955908,6253495,304311,647680,2023-12-06,2023-11-29 01:46:11,2023,11,29,1,Wednesday,2023,12,6,7
vid_6,Shocking Vlog 2023,T-Series,Music,10,2023-04-16,23:09:52,AU,live|trend|news|india|video|funny|movie,106675565,2709109,216893,126770,2023-04-20,2023-04-16 23:09:52,2023,4,16,23,Sunday,2023,4,20,4
vid_7,Exclusive Vlog Global,Sony SAB,Gaming,20,2023-01-06,13:32:17,AU,news|tech|movie|sports|video|india|funny|live,319862001,16502140,791197,5615578,2023-01-13,2023-01-06 13:32:17,2023,1,6,13,Friday,2023,1,13,7
vid_8,Best Song India,Zee News,Entertainment,24,2023-04-04,13:07:30,CA,funny|tech|trend|video,375685032,28827764,1584990,4981371,2023-04-11,2023-04-04 13:07:30,2023,4,4,13,Tuesday,2023,4,11,7
vid_9,Official Review Telugu,Sony SAB,Comedy,23,2023-08-21,19:07:49,AU,live|india|funny|trend|movie|news|video,498375148,37842993,3153359,7104716,2023-08-25,2023-08-21 19:07:49,2023,8,21,19,Monday,2023,8,25,4
vid_10,Best Reaction Hindi,BB Ki Vines,Music,10,2024-12-01,09:00:16,AU,viral|sports|tech|live|news,479941447,13179410,474091,9079471,2024-12-03,2024-12-01 09:00:16,2024,12,1,9,Sunday,2024,12,3,2
