OrderID,OrderDate,ProductID,Quantity,UnitPrice,Discount,Region
80000,2023-09-09,1299,1,4899.52,0.05,South
80001,2023-09-24,1166,3,5384.51,0.15,North
80002,2023-06-22,1102,1,6996.15,0.1,East
80003,2023-03-05,1494,1,8668.14,0.2,South
80004,2023-11-26,1016,5,438.22,0.2,East
80005,2023-01-27,1167,4,2443.86,0.0,East
80006,2023-02-27,1448,2,5812.1,0.15,South
80007,2023-05-29,1073,4,8495.97,0.05,West
80008,2023-02-26,1326,1,6319.33,0.0,East
80009,2023-02-01,1095,2,9570.2,0.05,West
80010,2023-08-26,1476,5,6727.55,0.05,South
80011,2023-03-25,1405,2,3265.25,0.1,West
80012,2023-07-26,1017,3,2215.12,0.1,East
80013,2023-04-20,1460,1,4732.33,0.15,West
80014,2023-03-17,1312,1,5876.47,0.05,West
80015,2023-04-15,1268,2,4588.03,0.15,South
80016,2023-03-27,1425,1,1742.63,0.1,North
80017,2023-07-28,1055,1,3690.03,0.15,West
80018,2023-05-04,1319,5,3546.91,0.2,West
80019,2023-04-14,1435,4,4191.55,0.05,South
80020,2023-09-22,1239,1,325.24,0.05,East
80021,2023-08-03,1383,2,6291.62,0.05,North
80022,2023-08-15,1272,2,10090.84,0.15,South
80023,2023-10-13,1272,1,9465.03,0.1,North
80024,2023-05-22,1006,5,1156.65,0.1,West
80025,2023-09-06,1410,4,9249.84,0.05,East
80026,2023-10-07,1370,1,2910.29,0.2,West
80027,2023-07-18,1393,2,5016.33,0.0,South
80028,2023-10-14,1121,3,4818.02,0.05,South
80029,2023-04-11,1011,2,6756.21,0.2,West
80030,2023-01-28,1151,1,1316.32,0.05,West
80031,2023-01-22,1025,3,3321.86,0.05,South
80032,2023-01-24,1386,2,2073.82,0.0,West
80033,2023-05-27,1483,1,4979.92,0.1,South
80034,2023-06-05,1459,5,10318.25,0.15,North
80035,2023-05-16,1483,2,5466.09,0.15,South
80036,2023-01-18,1162,2,4015.82,0.15,East
80037,2023-06-07,1283,1,4733.8,0.1,North
80038,2023-08-03,1358,2,4406.08,0.1,North
80039,2023-12-09,1388,1,4920.48,0.05,North
80040,2023-08-26,1278,4,3804.82,0.05,East
80041,2023-05-06,1077,1,7411.0,0.2,South
80042,2023-10-08,1243,3,7904.36,0.05,North
80043,2023-07-11,1364,4,1936.06,0.0,North
80044,2023-09-19,1135,2,2088.09,0.05,East
80045,2023-01-23,1033,5,12422.47,0.0,West
80046,2023-08-12,1330,1,8512.66,0.1,South
80047,2023-06-10,1116,1,4071.27,0.05,West
80048,2023-12-11,1176,1,9403.13,0.1,South
80049,2023-08-10,1026,4,1260.12,0.1,North
80050,2023-07-12,1284,2,8410.06,0.0,South
80051,2023-10-16,1495,1,6576.2,0.2,West
80052,2023-12-13,1029,4,5948.97,0.05,East
80053,2023-07-10,1353,1,4092.08,0.2,North
80054,2023-07-11,1235,1,7199.65,0.1,North
80055,2023-06-15,1022,5,4786.54,0.05,North
80056,2023-03-13,1340,1,5858.59,0.05,East
80057,2023-03-05,1442,3,886.73,0.05,South
80058,2023-10-01,1418,4,1536.49,0.05,North
80059,2023-08-23,1054,2,893.73,0.05,East
80060,2023-07-31,1449,1,891.11,0.05,West
80061,2023-02-02,1189,3,2619.63,0.0,North
80062,2023-06-19,1311,1,5556.81,0.2,West
80063,2023-07-06,1305,3,6172.56,0.1,West
80064,2023-10-28,1164,3,2179.42,0.0,South
80065,2023-09-09,1391,2,5374.83,0.1,West
80066,2023-08-23,1291,1,6990.33,0.2,North
80067,2023-11-19,1335,3,918.83,0.2,South
80068,2023-05-18,1275,1,6380.44,0.05,North
80069,2023-11-03,1445,5,8195.68,0.2,East
80070,2023-03-22,1235,1,10013.33,0.1,East
80071,2023-03-07,1097,5,6763.21,0.05,North
80072,2023-08-01,1338,1,6686.08,0.2,North
80073,2023-03-05,1150,2,1122.8,0.0,South
80074,2023-07-26,1285,2,7970.07,0.1,West
80075,2023-05-31,1089,2,3766.41,0.1,South
80076,2023-08-08,1104,1,2562.18,0.1,South
80077,2023-05-14,1237,1,1861.43,0.2,East
80078,2023-04-28,1043,4,5340.95,0.05,South
80079,2023-08-16,1109,2,1230.61,0.05,East
80080,2023-10-10,1128,1,1741.89,0.2,South
80081,2023-01-28,1358,4,3806.74,0.1,West
80082,2023-11-23,1130,4,5820.46,0.05,West
80083,2023-06-13,1464,5,1966.21,0.2,West
80084,2023-02-06,1178,2,4239.26,0.1,South
80085,2023-04-17,1060,1,7062.44,0.05,South
80086,2023-08-08,1185,3,2818.52,0.1,North
80087,2023-07-19,1162,3,7742.34,0.15,South
80088,2023-07-25,1171,3,1210.18,0.2,West
80089,2023-12-21,1177,1,2581.56,0.2,East
80090,2023-08-04,1461,1,3052.31,0.15,East
80091,2023-12-26,1135,5,1107.95,0.0,South
80092,2023-03-19,1006,5,1923.98,0.05,West
80093,2023-04-05,1254,1,359.94,0.0,West
80094,2023-06-19,1296,4,1145.67,0.0,South
80095,2023-05-16,1197,1,2033.6,0.1,West
80096,2023-03-16,1157,3,6806.93,0.05,East
80097,2023-08-31,1338,1,7204.22,0.05,South
80098,2023-03-28,1231,2,2380.79,0.05,South
80099,2023-02-14,1395,4,7434.66,0.1,South
80100,2023-06-05,1384,5,6219.83,0.0,South
80101,2023-05-28,1368,2,7536.6,0.1,East
80102,2023-02-08,1498,1,3953.07,0.05,West
80103,2023-08-22,1212,3,6010.6,0.1,North
80104,2023-09-28,1430,2,3666.03,0.2,West
80105,2023-11-05,1163,1,960.3,0.1,South
80106,2023-09-30,1078,1,5987.3,0.15,East
80107,2023-11-10,1323,1,1772.61,0.2,South
80108,2023-12-03,1164,2,2835.78,0.1,East
80109,2023-12-11,1477,1,3166.62,0.2,West
80110,2023-03-24,1030,4,8579.33,0.2,North
80111,2023-11-11,1308,4,1298.32,0.1,North
80112,2023-01-24,1475,2,3186.06,0.0,West
80113,2023-02-06,1435,4,7214.89,0.15,West
80114,2023-09-26,1259,2,3905.77,0.15,West
80115,2023-07-08,1024,1,4293.77,0.15,West
80116,2023-11-18,1206,3,2079.53,0.1,East
80117,2023-09-03,1421,1,3686.5,0.15,East
80118,2023-05-30,1027,5,924.29,0.15,North
80119,2023-05-06,1040,1,4056.25,0.0,East
80120,2023-08-09,1446,4,9781.87,0.0,South
80121,2023-12-03,1486,4,7889.74,0.2,South
